Name,Price,Category
Arbella Papatya 500 g,"2,70 TL",Mantı
Carrefour Fiyonk Makarna 500 g,"1,60 TL",Mant
Tarım Kredi Fiyonk Makarna 500 g,"2,20 TL","Kelebek, Fiyonk Makarna"
Barilla Kelebek Sade Makarna 500 g,"4,50 TL",Kelebek Fiyonk Makarna
Arbella Kelebek 500 g,"2,70 TL","Kelebek, Fiyonk Makarna"
Pastavilla Kelebek 500 g,"3,40 TL",Kelebek Fiyonk Makarna
Barilla Fiyonk Makarna 500 g,"4,50 TL","Kelebek, Fiyonk Makarna"
Filiz Makarna İnce Uzun 500 g,"2,49 TL",Kelebek Fiyonk Makarna
Filiz Makarna Yüksük 500 g,"2,49 TL","Kelebek, Fiyonk Makarna"
Filiz Kısa Kalem Makarna 500 g,"2,49 TL",Kelebek Fiyonk Makarna
Filiz Boncuk Makarna 500 g,"2,49 TL","Kelebek, Fiyonk Makarna"
Barilla Kalem Makarna 500 g,"4,50 TL",Kelebek Fiyonk Makarna
Ankara Yüksük Makarna 500 g,"2,75 TL","Kelebek, Fiyonk Makarna"
Pastavilla Rigatoni 500 g,"3,40 TL",Kelebek Fiyonk Makarna
Barilla Kalın Kesme Makarna 500 g,"4,50 TL","Kalem, İnce uzun, Yüksük Makarna"
Ankara İnce Uzun Makarna 500 g,"2,75 TL",Kalem İnce uzun Yüksük Makarna
Arbella Kalem Kesme Makarna 500 g,"2,70 TL","Kalem, İnce uzun, Yüksük Makarna"
Veronelli Rigatoni Makarna 500 g,"3,50 TL",Kalem İnce uzun Yüksük Makarna
Carrefour İnce Uzun Makarna 500G,"1,60 TL","Kalem, İnce uzun, Yüksük Makarna"
Tarım Kredi İnce Uzun Makarna 500 g,"2,20 TL",Kalem İnce uzun Yüksük Makarna
Arbella Yüksük Makarna 500 g,"2,70 TL","Kalem, İnce uzun, Yüksük Makarna"
Pastavilla Kalem 500 g,"3,40 TL",Kalem İnce uzun Yüksük Makarna
Arbella İnce Kesme Makarna 500 g,"2,70 TL","Kalem, İnce uzun, Yüksük Makarna"
Veronelli Kalem Makarna 500 g,"3,50 TL",Kalem İnce uzun Yüksük Makarna
Barilla İnce Uzun Sade Makarna 500 g,"4,50 TL","Kalem, İnce uzun, Yüksük Makarna"
