Name,Price,Category
Namet Dana Karabiberli-Fıstıklı Salam,"71,90 TL",Açk Salamlar
Polonez Dana Etli Fıstıklı Macar Salam kg,"84,90 TL",Açık Salamlar
Şahin Parmak Sucuk,"99,90 TL",Açk Salamlar
Özlem Extra Parmak Sucuk,"94,90 TL",Açık Salamlar
Apikoğlu Fermente Parmak Sucuk,"107,90 TL",Açk Salamlar
Namet Fermente Parmak Sucuk,"79,90 TL",Açık Salamlar
Namet Dana Kangal Sucuk 250 g,"16,90 TL",Açk Salamlar
Lez-Et Kangal Sucuk ,"44,90 TL",Açık Salamlar
Gurme Fermente Kangal Sucuk,"64,90 TL",Açk Salamlar
Apikoğlu Kangal Fermente Sucuk 280 g,"29,90 TL",Açık Salamlar
Maret Vakumlu Altın Sucuk 250 g,"25,95 TL",Açk Salamlar
Şahin Kangal Sucuk,"99,90 TL",Açık Salamlar
Maret Kangal Sucuk 250 g,"21,95 TL",Açk Salamlar
Apikoğlu Tavalık Fermente Sucuk 200 g,"22,90 TL",Kangal Sucuk
Apikoğlu Fermente Kangal Sucuk 210 g,"14,90 TL",Kangal Sucuk
Polonez Kangal Sucuk 240 g,"20,90 TL",Kangal Sucuk
Apikoğlu Klasik Kangal Fermente Antrikot Sucuk,"99,90 TL",Kangal Sucuk
Polonez Hindi Parmak Sucuk 300 g,"20,90 TL",Kangal Sucuk
Gurme Fermente Acılı Yarım Kangal Sucuk 250 g,"17,90 TL",Kangal Sucuk
Gurme Fermente Yarım Kangal Sucuk 250 g,"17,90 TL",Kangal Sucuk
Pınar Klasik Fermente Sucuk 225 g,"23,95 TL",Kangal Sucuk
Gurm Kangal Acılı Fermente Sucuk 220 g,"14,90 TL",Kangal Sucuk
Gurme Fermente Kangal Sucuk 220 g,"14,90 TL",Kangal Sucuk
Polonez Dana Fermente Kangal Sucuk,"81,90 TL",Kangal Sucuk
Polonez Işıl İşlem Görmüş Sucuk 200 g,"25,90 TL",Kangal Sucuk
Pınar Gurme Sucuk 250 g,"29,95 TL",Kangal Sucuk
Cumhuriyet Kangal Sucuk,"94,90 TL",Kangal Sucuk
Apikoğlu Parmak Fermente Sucuk 200 g,"21,90 TL",Kangal Sucuk
Gurme Dana Kangal Fermente Sucuk 2x250 g,"33,90 TL",Kangal Sucuk
Polonez Kasap Sucuk,"79,90 TL",Kangal Sucuk
Pınar Mangal Keyfi Sucuk 2 x 300 g,"31,90 TL",Kangal Sucuk
Polonez Işıl İşlem Görmüş Acılı Kangal Sucuk 200 g,"25,90 TL",Kangal Sucuk
Pınar Aç Bitir Sucuk 90 g,"7,45 TL",Kangal Sucuk
Gurme Dana Cızzgara Sucuk 240 g,"19,90 TL",Kangal Sucuk
Torku Fermente Sucuk Vakum 225 g,"24,75 TL",Kangal Sucuk
Torku Işıl İşlem Görmüş Kangal Sucuk Açık,"74,90 TL",Kangal Sucuk
Pınar Sucuk Mangal Keyfi 300 g,"16,90 TL",Kangal Sucuk
Pınar Sucuk Mangal Keyfi Acılı 300 g,"16,90 TL",Kangal Sucuk
Torku Acılı Fermente Sucuk Vakum  225 g,"24,75 TL",Kangal Sucuk
Gurme Hellimli Yarım Kangal Sucuk 250 g,"14,90 TL",Kangal Sucuk
Carrefour Işıl İşlem Görmüş Sucuk ,"59,90 TL",Kangal Sucuk
Namet Fermente Kangal Sucuk,"79,90 TL",Kangal Sucuk
Namet Fermente Acılı Kangal Sucuk,"79,90 TL",Kangal Sucuk
Apikoğlu Fermente Kangal Sucuk,"107,90 TL",Kangal Sucuk
Torku Acılı Işıl İşlem Görmüş Kangal Sucuk Açık,"74,90 TL",Kangal Sucuk
Polonez Dana Baton Sucuk,"89,90 TL",Kangal Sucuk
Pınar  Sosis 10'lu 432 g,"23,90 TL",Kangal Sucuk
Maret 10'lu Soyulmuş Sosis 432 g,"24,95 TL",Kangal Sucuk
Polonez Sosis 500 g,"26,90 TL",Kangal Sucuk
Maret 5'li Sosis 240 g,"15,25 TL",Kangal Sucuk
Aytaç Şipşak Piliç Kokteyl Sosis 170 g,"4,90 TL",Kangal Sucuk
Beşler Sosis 700 g,"16,90 TL",Kangal Sucuk
Banvit Jumbo Sosis 4'lü 330 g,"6,75 TL",Kangal Sucuk
Pınar Minik Sosis 215 g,"16,90 TL",Diğer Sucuklar
Banvit Kokteyl Piliç Sosis 360 g,"6,50 TL",Diğer Sucuklar
Beşler Kokteyl Piliç Sosis 280 g,"7,50 TL",Tavuk Sosis
Namet Dana Kokteyl Sosis 450 g,"25,90 TL",Tavuk Sosis
Aytaç Çiftlik Kokteyl Sosis 350 g,"9,50 TL",Tavuk Sosis
Gurme Dana Sosis 250 g,"13,90 TL",Tavuk Sosis
Maret Kokteyl Sosis,"15,90 TL",Tavuk Sosis
Pınar Aç-Bitir Kokteyl Sosis 180 g,"6,15 TL",Tavuk Sosis
Polonez Hindi Kokteyl Sosis Kg,"22,90 TL",Hindi Sosis
Maret Hindi Sosis 140 g,"4,50 TL",Hindi Sosis
Banvit Piliç Sosis 1000 g,"12,90 TL",Hindi Sosis
Pınar Sosis Kokteyl 250 g,"7,90 TL",Hindi Sosis
Polonez Extra Dana Sosis kg,"39,90 TL",Hindi Sosis
Namet Dana Uzun Sosis kg,"47,90 TL",Hindi Sosis
Namet Dana Sosis kg,"47,90 TL",Hindi Sosis
Namet Dilimli Jambon Tavuk 150 g,"7,50 TL",Hindi Sosis
Namet Blok Tavuk Jambon kg,"47,90 TL",Dana Sosis
Polenez Hindi Jambon 60 g,"4,75 TL",Dana Sosis
Polonez Hindi Füme kg,"45,90 TL",Dana Sosis
Banvit Aç Kapa Extra Piliç Jambon 60 g,"3,15 TL",Dana Sosis
Namet Dana Dilimli Jambon 150 g,"14,90 TL",Dana Sosis
Torku Dilimli Dana Jambon 120 g,"9,90 TL",Dana Sosis
Polonez Dana Jambon 110 g,"11,90 TL",Tavuk Jambon
Pınar Aç Bitir Jambon 50 g,"5,45 TL",Tavuk Jambon
Polonez Tost Jambon 60 g,"6,90 TL",Hindi Jambon
