Name,Price,Category
İçim Şişe Süt Çikolatalı 250 ml,"2,50 TL",Aromalı Süt
Kido Süt Kakaolu 6x200  ml,"9,90 TL",Aromal Süt
Sek Çilekli Pastörize Süt 200 ml,"2,75 TL",Aromalı Süt
Pınar Kido Muzlu Süt 1/5,"1,65 TL",Aromal Süt
Pınar Kido Kakaolu Süt 200 ml,"1,65 TL",Aromalı Süt
Nesquik Kakaolu Süt 6x180 ml,"10,65 TL",Aromal Süt
Sek Muzlu Pastörize Süt 200 ml,"2,75 TL",Aromalı Süt
Sek Çikolatalı Pastörize Süt 200 ml,"2,75 TL",Aromal Süt
Torku Kakaolu Süt 6 x 200 ml,"9,75 TL",Aromalı Süt
Sek Kakolu Süt 6x180 ml,"7,99 TL",Aromal Süt
Pınar İlk Adım Büyüme Sütü Muz Püreli 1/1,"4,50 TL",Aromalı Süt
Pınar Çocuk Sütü 200 ml,"2,65 TL",Aromal Süt
Pınar Çocuk Ballı Devam Sütü 500 ml,"4,50 TL",Aromalı Süt
Sütaş Muzlu Süt 200 ml,"1,85 TL",Aromal Süt
Pınar Çocuk Devam Sütü 4x500 ml,"17,95 TL",Aromalı Süt
Nesquik Kakaolu Süt 180 ml,"1,95 TL",Aromal Süt
Torku Cafe Macchiato 230 ml,"3,50 TL",Aromalı Süt
Torku Cafe Mocha 230 ml,"3,50 TL",Aromal Süt
Torku Cafe Latte 230 ml,"3,50 TL",Aromalı Süt
Pınar Sade Çocuk Sütü 6'lı,"15,90 TL",Aromal Süt
Nesquik Muzlu Süt 180 ml,"1,95 TL",Aromalı Süt
Nesquik Çilekli Süt 180 ml,"1,95 TL",Aromal Süt
Torku Muzlu Süt 6x180 ml,"9,75 TL",Aromalı Süt
Torku Kakaolu Süt 180 ml,"1,65 TL",Aromal Süt
Torku Çilekli Süt 180 ml,"1,65 TL",Aromalı Süt
Torku Muzlu Süt 180 ml,"1,65 TL",Aromal Süt
Torku Banada Çikolatalı Süt 230 ml,"3,50 TL",Aromalı Süt
Torku Coco Tropico 230 ml,"3,50 TL",Aromal Süt
Starbucks Chilled Classics Cappucino Kutu 220 ml,"14,90 TL",Aromalı Süt
Starbucks Chilled Classics Caramel Macchiato Kutu 220 ml,"14,90 TL",Aromal Süt
Danone Kakaolu Aromalı Uht Süt 180 ml,"1,95 TL",Aromalı Süt
Danone Muz Aromalı Uht Süt 180 ml,"1,95 TL",Aromal Süt
Danone Çilek Aromalı Süt 180 ml,"1,95 TL",Aromalı Süt
Sek Kakaolu Süt 180 ml,"1,40 TL",Aromal Süt
Sek Çilek Aromalı  Süt 180 ml,"1,40 TL",Aromalı Süt
Sek Muz Aromalı Süt 180 ml,"1,40 TL",Aromal Süt
Pınar Kido Çilekli Süt 1/5,"1,65 TL",Aromalı Süt
Danone Kakao Aromalı Süt 180 ml,"1,95 TL",Aromal Süt
Sütaş Çikolatalı Süt 200 ml,"1,85 TL",Aromalı Süt
Sütaş Çilekli Süt 200 ml,"1,85 TL",Aromal Süt
Pınar Süt Çocuk Ballı 200 g,"2,65 TL",Aromalı Süt
İçim Pastorize Tam Yağlı Günlük Süt 1 lt Pet,"5,95 TL",Aromal Süt
İçim Pastorize Yarım Yağlı Taze Günlük Süt Pet 1 lt,"4,95 TL",Pastörize ve Günlük Süt
Sek Yeni Nesil Çiftlik Sütü 1 lt,"6,75 TL",Pastörize ve Günlük Süt
Sek Probiyotik Çilekli 250 ml,"3,75 TL",Pastörize ve Günlük Süt
Sütaş Pastörize Şişe Süt 1 lt,"6,95 TL",Pastörize ve Günlük Süt
Sek Probiyotik Ananaslı 250 ml,"3,75 TL",Pastörize ve Günlük Süt
Sek Probiyotik Kayısılı 250 ml,"3,75 TL",Pastörize ve Günlük Süt
Sek Pastörize Günlük Depozitosuz Şişe Süt 1 lt,"6,75 TL",Pastörize ve Günlük Süt
Sek Günlük Taze Süt 1 lt,"6,75 TL",Pastörize ve Günlük Süt
Sek Laktozsuz Günlük Süt 1 lt,"6,75 TL",Pastörize ve Günlük Süt
İçim Pastörize Cam Şişe Süt 1000 ml,"6,25 TL",Pastörize ve Günlük Süt
Torku Pastörize Çiftçi Sütü 1 lt,"6,50 TL",Pastörize ve Günlük Süt
Sek Günlük Süt 500 g,"4,25 TL",Pastörize ve Günlük Süt
Süt Kaynağı Çiğ Süt 3 lt,"17,95 TL",Pastörize ve Günlük Süt
Sek Günlük Süt 200 ml,"2,75 TL",Pastörize ve Günlük Süt
