Name,Price,Category
Margarinli Kruvasan 8 Adet,"11,00 TL","Simit, Poğaça ve Tatlı Çörekler"
Çikolatalı Kruvasan 5 Adet,"16,50 TL",Simit Poğaça ve Tatl Çörekler
Çikolatalı Ekmek  X10,"19,90 TL","Simit, Poğaça ve Tatlı Çörekler"
Aly Su Böreği Yufkası 500 g,"9,50 TL",Simit Poğaça ve Tatl Çörekler
Aly Lavaş 10'lu,"9,50 TL","Simit, Poğaça ve Tatlı Çörekler"
Aly Üçgen Yufka 360 g,"6,50 TL",Simit Poğaça ve Tatl Çörekler
Aksular Baklavalık Yufka 800 g,"10,50 TL","Simit, Poğaça ve Tatlı Çörekler"
Aly Lavaş 10'lu 15 cm,"5,95 TL",Simit Poğaça ve Tatl Çörekler
El Yufkası Adet,"2,25 TL","Simit, Poğaça ve Tatlı Çörekler"
Nuhun Ankara İrmik 500 g,"3,30 TL",Simit Poğaça ve Tatl Çörekler
Sinangil İrmik 500 g,"2,95 TL","Simit, Poğaça ve Tatlı Çörekler"
Filiz İrmik 500 g,"3,00 TL",Simit Poğaça ve Tatl Çörekler
Sinangil Böreklik Un 2 kg,"10,12 TL","Simit, Poğaça ve Tatlı Çörekler"
Söke Ruşeymli Un Karışımı 500 g,"7,15 TL",Simit Poğaça ve Tatl Çörekler
Söke Çavdarlı Un Karışımı 500 g,"7,15 TL",Özel Un
Söke Yulaflı Un Karışımı 500G,"7,15 TL",Özel Un
Söke Çok Tahıllı Un Karışımı 500 g,"7,15 TL",Özel Un
Söke Köy Ekmeği Un Karışımı 500 g,"7,15 TL",Özel Un
Naturelka Glutensiz Kestane Unu 250 g,"46,50 TL",Özel Un
Söke Tam Buğday Un Karışımı 500 g,"7,15 TL",Özel Un
Bağdat Galeta Unu Ekonomik Poşet 250 g,"3,95 TL",Özel Un
Sinangil Pirinç Unu 250 g,"2,30 TL",Özel Un
Bağdat Mısır Unu Eko Poşet 250 g,"3,75 TL",Özel Un
Sinangil Köy Ekmeği Miksi 1 kg,"9,70 TL",Özel Un
Sinangil Tahıllı Ekmek Miksi 1 kg,"9,70 TL",Özel Un
Sinangil Çavdarlı Ekmek Miksi 1 kg,"9,70 TL",Özel Un
Dr. Oetker Pizza Unu 255 g,"4,55 TL",Özel Un
Doğalsan Çavdar unu 1000 g,"7,95 TL",Özel Un
